,Unnamed: 0,Keyword/Keyword Phrase,Related Terms,Volume,CPC,URL,entity,matched_text,freebase_types,dbpedia_types,wikipedia_link,entity_per_url,total_url_per_keyword,percentage_entity_prominence
4437,4474,plumber,plumber,40500,6.95,https://www.thameswater.co.uk/help-and-advice/no-water-or-low-pressure/find-a-plumber,Plumbing,Internal plumbing,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,22,53,41.50943396
1027,1027,plumber,plumber,40500,6.95,https://www.localheroes.com/plumber,Shower,Shower,[],[],http://en.wikipedia.org/wiki/Shower,45,270,16.66666667
3672,3676,plumber,plumber,40500,6.95,https://www.bbc.co.uk/news/business-30851179,Water,water,"['/exhibitions/exhibition_subject', '/chemistry/molecular_entity', '/food/nutrient', '/cvg/computer_game_subject', '/food/ingredient', '/visual_art/visual_art_medium', '/chemistry/chemical_compound', '/book/book_subject', '/medicine/drug_ingredient']","['ChemicalSubstance', 'ChemicalCompound']",http://en.wikipedia.org/wiki/Water,5,51,9.803921569
14682,14841,plumber,plumber edinburgh,2400,7.59,https://www.mybuilder.com/plumbers/midlothian/edinburgh,Bathroom,bathroom,"['/organization/organization_sector', '/business/industry', '/business/consumer_product', '/organization/contact_category']",[],http://en.wikipedia.org/wiki/Bathroom,40,676,5.917159763
14685,14844,plumber,plumber edinburgh,2400,7.59,https://www.mybuilder.com/plumbers/midlothian/edinburgh,Bathroom,bathrooms,"['/organization/organization_sector', '/business/industry', '/business/consumer_product', '/organization/contact_category']",[],http://en.wikipedia.org/wiki/Bathroom,40,676,5.917159763
14332,14489,plumber,plumber edinburgh,2400,7.59,https://www.yell.com/s/plumbers-edinburgh.html,Boiler,Boiler,['/organization/organization_sector'],[],http://en.wikipedia.org/wiki/Boiler,8,28,28.57142857
15459,15620,plumber,plumber edinburgh,2400,7.59,https://www.gumtree.com/plumbing-services/edinburgh,Boiler,Boilers,['/organization/organization_sector'],[],http://en.wikipedia.org/wiki/Boiler,60,760,7.894736842
16619,16798,plumber,plumber edinburgh,2400,7.59,https://www.emergencyplumbersedinburgh.co.uk/,Central heating,Central Heating,"['/organization/organization_sector', '/organization/contact_category']",[],http://en.wikipedia.org/wiki/Central_heating,8,76,10.52631579
17112,17293,plumber,plumber edinburgh,2400,7.59,https://celsiusplumbingandheating.com/,Central heating,central heating system,"['/organization/organization_sector', '/organization/contact_category']",[],http://en.wikipedia.org/wiki/Central_heating,2,17,11.76470588
17099,17280,plumber,plumber edinburgh,2400,7.59,https://celsiusplumbingandheating.com/,Customer service,customer service,"['/book/book_subject', '/location/location', '/people/profession', '/organization/organization_sector', '/organization/contact_category']",[],http://en.wikipedia.org/wiki/Customer_service,3,17,17.64705882
